9900285854,Annual (San Antonio B-cycle),207,2014-10-26T00:00:00.000,13:12:00,2537,West & 6th St.,2707,Rainey St @ Cummings,76,10,2014,2537,West & 6th St.,active,"{'latitude': '30.27041', 'longitude': '-97.75046'}",603 West Ave.,16737,undetermined_parking,13,solar,40,5,9,2021-01-04T00:00:00.000,2856,9,,,30.27041,-97.75046,2707,Rainey St @ Cummings,active,"{'latitude': '30.255906', 'longitude': '-97.739949'}",1 Rainey St,16597,parkland,17,solar,50,5,9,2022-03-04T10:38:00.000,2856,9,parkland at ROW/easement,,30.255906,-97.739949,1.1803328045159303
9900285855,24-Hour Kiosk (Austin B-cycle),969,2014-10-26T00:00:00.000,13:12:00,2498,Convention Center / 4th St. @ MetroRail,2566,Pfluger Bridge @ W 2nd Street,58,10,2014,2498,4th/Sabine,active,"{'latitude': '30.264327', 'longitude': '-97.736446'}",702 E 4th St,16734,sidewalk,17,non-metered,50,5,9,2022-03-04T08:12:00.000,2856,9,moved from 4th and Neches,,30.264327,-97.736446,2566,Pfluger Bridge @ W 2nd Street,active,"{'latitude': '30.26717', 'longitude': '-97.75484'}",Presented by Austin Parks Foundation,16762,sidewalk,19,solar,55,5,9,2021-01-04T00:00:00.000,2858,9,adjacent to parkland,,30.26717,-97.75484,1.1171389527396935
9900285856,Annual Membership (Austin B-cycle),214,2014-10-26T00:00:00.000,13:12:00,2537,West & 6th St.,2496,8th & Congress,8,10,2014,2537,West & 6th St.,active,"{'latitude': '30.27041', 'longitude': '-97.75046'}",603 West Ave.,16737,undetermined_parking,13,solar,40,5,9,2021-01-04T00:00:00.000,2856,9,,,30.27041,-97.75046,2496,8th & Congress,active,"{'latitude': '30.2698', 'longitude': '-97.74186'}",111 E. 8th St.,16725,sidewalk,14,solar,20,7.5,9,2021-01-04T00:00:00.000,2856,9,double sided,,30.2698,-97.74186,0.515914591925548
9900285857,24-Hour Kiosk (Austin B-cycle),745,2014-10-26T00:00:00.000,13:12:00,,Zilker Park at Barton Springs & William Barton Drive,,Zilker Park at Barton Springs & William Barton Drive,28,10,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9900285858,24-Hour Kiosk (Austin B-cycle),164,2014-10-26T00:00:00.000,13:12:00,2538,Bullock Museum @ Congress & MLK,,Convention Center/ 3rd & Trinity,15,10,2014,2538,Bullock Museum @ Congress & MLK,closed,"{'latitude': '30.28039', 'longitude': '-97.73809'}",1881 Congress Ave.,,,,,,,1,2021-01-04T00:00:00.000,2856,1,,,30.28039,-97.73809,,,,,,,,,,,,,,,,,,,,
9900285859,24-Hour Kiosk (Austin B-cycle),37,2014-10-26T00:00:00.000,13:12:00,,Zilker Park at Barton Springs & William Barton Drive,2545,ACC - Rio Grande & 12th,26,10,2014,,,,,,,,,,,,,,,,,,,,2545,ACC - Rio Grande & 12th,closed,"{'latitude': '30.27595', 'longitude': '-97.74739'}",700 W. 12th St.,,,,,,,9,2021-01-04T00:00:00.000,2856,9,,,30.27595,-97.74739,
9900285860,Annual Membership (Austin B-cycle),517,2014-10-26T00:00:00.000,13:12:00,2496,8th & Congress,2561,State Capitol Visitors Garage @ San Jacinto & 12th,35,10,2014,2496,8th & Congress,active,"{'latitude': '30.2698', 'longitude': '-97.74186'}",111 E. 8th St.,16725,sidewalk,14,solar,20,7.5,9,2021-01-04T00:00:00.000,2856,9,double sided,,30.2698,-97.74186,2561,State Capitol Visitors Garage @ San Jacinto & 12th,active,"{'latitude': '30.27336', 'longitude': '-97.73805'}",1201 San Jacinto Blvd.,16764,sidewalk,13,solar,40,5,1,2021-01-04T00:00:00.000,2856,1,state property?,,30.27336,-97.73805,0.3347055041790394
9900285861,Annual Membership (Austin B-cycle),996,2014-10-26T00:00:00.000,13:12:00,2569,East 11th St. & San Marcos,2499,City Hall / Lavaca & 2nd,11,10,2014,2569,East 11th St. & San Marcos,active,"{'latitude': '30.26968', 'longitude': '-97.73074'}",1001 E. 11th St.,16756,undetermined_parking,11,solar,35,5,1,2021-01-04T00:00:00.000,2857,1,,,30.26968,-97.73074,2499,City Hall / Lavaca & 2nd,active,"{'latitude': '30.26476', 'longitude': '-97.74678'}",Presented by Graves Dougherty Hearon & Moody,16732,sidewalk,19,solar,55,5,9,2021-01-04T00:00:00.000,2856,9,check dock #-18?,,30.26476,-97.74678,1.0171904104922862
9900285862,Annual Membership (Austin B-cycle),517,2014-10-26T00:00:00.000,13:12:00,2496,8th & Congress,2496,8th & Congress,0,10,2014,2496,8th & Congress,active,"{'latitude': '30.2698', 'longitude': '-97.74186'}",111 E. 8th St.,16725,sidewalk,14,solar,20,7.5,9,2021-01-04T00:00:00.000,2856,9,double sided,,30.2698,-97.74186,2496,8th & Congress,active,"{'latitude': '30.2698', 'longitude': '-97.74186'}",111 E. 8th St.,16725,sidewalk,14,solar,20,7.5,9,2021-01-04T00:00:00.000,2856,9,double sided,,30.2698,-97.74186,0.0
9900285863,24-Hour Kiosk (Austin B-cycle),385,2014-10-26T00:00:00.000,13:12:00,,Zilker Park at Barton Springs & William Barton Drive,2545,ACC - Rio Grande & 12th,25,10,2014,,,,,,,,,,,,,,,,,,,,2545,ACC - Rio Grande & 12th,closed,"{'latitude': '30.27595', 'longitude': '-97.74739'}",700 W. 12th St.,,,,,,,9,2021-01-04T00:00:00.000,2856,9,,,30.27595,-97.74739,
