title,price,new_used_or_certified,year,sorted_by,mileage,car_make,scrape_date
Used 2005 Ford Escape XLT,"7,286",Used,2005,Date - Newest,"22,230 miles",Ford,6/16/2023
Used 2021 Ford Bronco Sport Big Bend,"30,700",Used,2021,Date - Newest,"13,570 miles",Ford,6/16/2023
Certified 2022 Toyota Tundra SR5,"52,791",Certified,2022,Date - Newest,0,Toyota,6/16/2023
Used 2023 Lamborghini Urus S,"329,888",Used,2023,Date - Newest,"9,300 miles",Lamborghini,6/16/2023
Used 2021 Lamborghini Urus,"254,888",Used,2021,Date - Newest,"23,336 miles",Lamborghini,6/16/2023
Certified 2021 Mercedes-Benz G 63 AMG 4MATIC,"195,333",Certified,2021,Date - Newest,0,Mercedes-Benz,6/16/2023
Used 2023 Land Rover Range Rover Long Wheelbase Autobiography,"194,990",Used,2023,Date - Newest,"54,527 miles",Land Rover,6/16/2023
Used 2023 Land Rover Range Rover Long Wheelbase Autobiography,"194,990",Used,2023,Date - Newest,"54,527 miles",Rover,6/16/2023
New 2023 Chevrolet Corvette Z06,"154,960",New,2023,Date - Newest,0,Chevrolet,6/16/2023
Used 2016 Land Rover Range Rover Evoque SE,"22,995",Used,2016,Date - Newest,"4,000 miles",Land Rover,6/16/2023
Used 2016 Land Rover Range Rover Evoque SE,"22,995",Used,2016,Date - Newest,"4,000 miles",Rover,6/16/2023
New 2023 Chevrolet Corvette Z06,"147,490",New,2023,Date - Newest,0,Chevrolet,6/16/2023
New 2023 Cadillac Escalade Sport Platinum,"133,010",New,2023,Date - Newest,0,Cadillac,6/16/2023
New 2024 BMW X5 M Competition,"132,020",New,2024,Date - Newest,0,BMW,6/16/2023
New 2023 Cadillac Escalade ESV Sport Platinum,"130,910",New,2023,Date - Newest,0,Cadillac,6/16/2023
New 2023 Cadillac Escalade Sport Platinum,"129,685",New,2023,Date - Newest,0,Cadillac,6/16/2023
New 2023 Cadillac Escalade Premium Luxury Platinum,"129,420",New,2023,Date - Newest,0,Cadillac,6/16/2023
Used 2022 Cadillac Escalade ESV Sport Platinum,"116,548",Used,2022,Date - Newest,"23,600 miles",Cadillac,6/16/2023
New 2023 Lincoln Navigator L Reserve,"105,420",New,2023,Date - Newest,0,Lincoln,6/16/2023
New 2024 GMC Sierra 3500 Denali Ultimate,"102,985",New,2024,Date - Newest,0,GMC,6/16/2023
Used 2021 Ford Mustang Shelby GT500,"100,491",Used,2021,Date - Newest,"16,921 miles",Ford,6/16/2023
Used 2021 Ford Mustang Shelby GT500,"100,491",Used,2021,Date - Newest,"16,921 miles",Shelby,6/16/2023
New 2023 Jeep Grand Wagoneer Series II,"99,380",New,2023,Date - Newest,0,Jeep,6/16/2023
New 2024 BMW X7 xDrive40i,"98,590",New,2024,Date - Newest,0,BMW,6/16/2023
New 2023 RAM 2500 Power Wagon,"96,300",New,2023,Date - Newest,0,,6/16/2023
New 2023 Lincoln Navigator Reserve,"95,455",New,2023,Date - Newest,0,Lincoln,6/16/2023
Used 2021 Cadillac Escalade ESV Sport,"94,900",Used,2021,Date - Newest,"27,037 miles",Cadillac,6/16/2023
Used 2022 Land Rover Range Rover Sport HSE Dynamic,"94,888",Used,2022,Date - Newest,0,Land Rover,6/16/2023
Used 2022 Land Rover Range Rover Sport HSE Dynamic,"94,888",Used,2022,Date - Newest,0,Rover,6/16/2023
Used 2022 Land Rover Range Rover Sport HSE Dynamic,"94,888",Used,2022,Date - Newest,0,Dynamic,6/16/2023
New 2023 Mercedes-Benz GLS 450 4MATIC,"94,455",New,2023,Date - Newest,0,Mercedes-Benz,6/16/2023
New 2023 RAM 2500 Longhorn,"94,210",New,2023,Date - Newest,0,,6/16/2023
New 2023 Ford F250 Lariat,"93,720",New,2023,Date - Newest,0,Ford,6/16/2023
New 2022 RAM 1500 TRX,"93,260",New,2022,Date - Newest,0,,6/16/2023
